receiver,cap_fF,deltaV_mV,electrons_needed,quantum_efficiency,ideal_received_optical_energy_fJ,kT_over_C_rms_mV,signal_over_kTC,sqrtN_shot_SNR
ideal_small_contact_receptor,3,20,374.4905444676458,0.5,0.09598776652892924,1.1750102127215745,17.021128653576323,19.351758175102482
ideal_small_contact_receptor,3,20,374.4905444676458,0.8,0.059992354080580776,1.1750102127215745,17.021128653576323,19.351758175102482
ideal_small_contact_receptor,3,20,374.4905444676458,1.0,0.04799388326446462,1.1750102127215745,17.021128653576323,19.351758175102482
ideal_small_contact_receptor,3,200,3744.9054446764585,0.5,0.9598776652892924,1.1750102127215745,170.2112865357632,61.19563256210739
ideal_small_contact_receptor,3,200,3744.9054446764585,0.8,0.5999235408058078,1.1750102127215745,170.2112865357632,61.19563256210739
ideal_small_contact_receptor,3,200,3744.9054446764585,1.0,0.4799388326446462,1.1750102127215745,170.2112865357632,61.19563256210739
published_photodiode_cap_only,17,20,2122.1130853166596,0.5,0.5439306769972657,0.4936030198210608,40.51839068417841,46.0663986579878
published_photodiode_cap_only,17,20,2122.1130853166596,0.8,0.33995667312329103,0.4936030198210608,40.51839068417841,46.0663986579878
published_photodiode_cap_only,17,20,2122.1130853166596,1.0,0.27196533849863286,0.4936030198210608,40.51839068417841,46.0663986579878
published_photodiode_cap_only,17,200,21221.130853166593,0.5,5.439306769972656,0.4936030198210608,405.1839068417841,145.6747433605654
published_photodiode_cap_only,17,200,21221.130853166593,0.8,3.39956673123291,0.4936030198210608,405.1839068417841,145.6747433605654
published_photodiode_cap_only,17,200,21221.130853166593,1.0,2.719653384986328,0.4936030198210608,405.1839068417841,145.6747433605654
published_photodiode_plus_10fF_pad,27,20,3370.414900208812,0.5,0.8638898987603632,0.3916700709071915,51.063385960728965,58.055274525307446
published_photodiode_plus_10fF_pad,27,20,3370.414900208812,0.8,0.5399311867252269,0.3916700709071915,51.063385960728965,58.055274525307446
published_photodiode_plus_10fF_pad,27,20,3370.414900208812,1.0,0.4319449493801816,0.3916700709071915,51.063385960728965,58.055274525307446
published_photodiode_plus_10fF_pad,27,200,33704.149002088125,0.5,8.638898987603632,0.3916700709071915,510.63385960728965,183.58689768632217
published_photodiode_plus_10fF_pad,27,200,33704.149002088125,0.8,5.39931186725227,0.3916700709071915,510.63385960728965,183.58689768632217
published_photodiode_plus_10fF_pad,27,200,33704.149002088125,1.0,4.319449493801816,0.3916700709071915,510.63385960728965,183.58689768632217
