branch_count,branch_length_um,branch_C_fF,reservoir_C_fF,branch_C_fraction_pct,energy_on_branch_C_for_0.199_to_0.2893_fJ
1,500,31.155,10000,0.31155,0.686866340475
4,500,124.62,10000,1.2462,2.7474653619
