corner,case,launch,pre_peak_V,wake_peak_V,wake12_V,min_event_V,max_event_V,post_done_event_V,pass
ss,row_only,1,0.0009011795,0.0006906938,0.0003638089,0.0003404864,0.0003446164,0.0003392019,True
ss,col_only,1,0.002535362,0.001413075,0.0003638089,0.0003407996,0.0003489323,0.0003392056,True
ss,none,1,8.603207e-09,0.0004647943,0.0003638089,0.0003400381,0.0003446206,0.0003392061,True
ss,partial,1,0.05551553,0.0008437238,0.0003638089,0.0003406425,0.0003445791,0.0003391647,True
