corner,case,launch,pre_peak_V,wake_peak_V,wake12_V,min_event_V,max_event_V,post_done_event_V,pass
tt,true,1,1.812219,1.188211,1.120595,0.2002449,0.2003038,-0.01042404,True
ff,true,1,1.806313,1.243493,1.20183,0.200065,0.2000691,-0.01267307,True
ss,true,1,1.816487,1.140222,1.030277,0.2001416,0.2002633,-0.01477673,True
