corner,wake12_V,min_event_V,max_event_V,post_done_event_V,pass,rc
tt,1.12262,0.2002415,0.2002979,-0.009904956,True,0
ff,1.205059,0.2000629,0.2000675,-0.008191105,True,0
ss,1.028607,0.2001198,0.2001648,-0.01457132,True,0
