layout,drc_errors,venule_to_GC_fF,venule_to_GR_fF,GC_GR_fF,slow_outlet_connectivity
near_weak_pair,0,0.00604839,0.00604839,0.040625,VENULE->NFET_SOURCE;ARTERY->NFET_DRAIN;SLOW_GATE->NFET_GATE
boundary_far,0,below_extractor_report_precision,below_extractor_report_precision,0.040625,VENULE->NFET_SOURCE;ARTERY->NFET_DRAIN;SLOW_GATE->NFET_GATE
