policy,pressure_threshold,restart_after,hard_retrap,easy_retrap,hard_max_rounds,easy_max_rounds,resolved,ontime,p95,meanlat,attempts,local_restarts,whole_restarts,disturbed_state,ontime_per_module,selected
fixed4,15,2,0.04,0.015,8,6,0.7855505038587717,0.5590431775313133,38.955499999999994,16.391340244760627,5.304324596107453,0.0,0.0,0.0,0.00873504964892677,False
local_restart,10,2,0.02,0.0075,8,6,0.8887741114094833,0.6516488944780481,36.210499999999996,15.420912222149461,5.217410747381101,0.7483003648082581,0.0,0.7483003648082581,0.010182013976219501,False
local_restart,10,2,0.04,0.015,8,6,0.8832510518816948,0.6476007868421695,36.101499999999994,15.434018922179241,5.205450337059264,0.7494679972715446,0.0,0.7494679972715446,0.010118762294408898,False
local_restart,10,2,0.06,0.0225,8,6,0.8776999892334229,0.6447518833853959,35.866499999999995,15.264266105700006,5.219305599180335,0.7628021317506947,0.0,0.7628021317506947,0.010074248177896811,False
local_restart,10,2,0.08,0.03,8,6,0.8700548379778371,0.6363593708794004,36.278,15.445885088214789,5.2326863948194235,0.7735623862207918,0.0,0.7735623862207918,0.009943115169990632,False
local_restart,10,3,0.02,0.0075,8,6,0.8588635179501367,0.5945233246429926,41.47449999999999,17.28763625610209,5.311430218620841,0.36091148195483314,0.0,0.36091148195483314,0.00928942694754676,False
local_restart,10,3,0.04,0.015,8,6,0.8576264753767379,0.5912575785278021,41.559,17.34204224693649,5.306642271896903,0.3590478151201926,0.0,0.3590478151201926,0.009238399664496908,False
local_restart,10,3,0.06,0.0225,8,6,0.8559139378971491,0.5867495511574459,41.364,17.169544807054788,5.2974346625679996,0.35830235806681293,0.0,0.35830235806681293,0.009167961736835092,False
local_restart,10,3,0.08,0.03,8,6,0.8538592870948065,0.5853118805872927,41.1955,17.10685274827023,5.29959981144317,0.35830268412007504,0.0,0.35830268412007504,0.009145498134176448,False
local_restart,15,2,0.02,0.0075,8,6,0.8922624182247229,0.6543360075458723,35.8045,15.316473331282754,5.226671901508713,0.7522690995168487,0.0,0.7522690995168487,0.010224000117904255,True
local_restart,15,2,0.04,0.015,8,6,0.8864452841953973,0.6424368635885667,36.659,15.675674483210086,5.212075680566448,0.7504840066616919,0.0,0.7504840066616919,0.010038075993571354,False
local_restart,15,2,0.06,0.0225,8,6,0.8818251042709311,0.6396577474481869,36.239,15.448013252292265,5.225350962508826,0.7631249559325427,0.0,0.7631249559325427,0.00999465230387792,False
local_restart,15,2,0.08,0.03,8,6,0.8739178419754313,0.6352238224057198,36.512499999999996,15.59561713137493,5.231549454935042,0.7727740467944357,0.0,0.7727740467944357,0.009925372225089373,False
local_restart,15,3,0.02,0.0075,8,6,0.8619094785682537,0.5843070606839007,42.518499999999996,17.805507878539682,5.312921734541169,0.3614293450310723,0.0,0.3614293450310723,0.009129797823185948,False
local_restart,15,3,0.04,0.015,8,6,0.8601899050190029,0.5863473358309705,42.122,17.604264724852236,5.309324802294908,0.36028977512161114,0.0,0.36028977512161114,0.009161677122358915,False
local_restart,15,3,0.06,0.0225,8,6,0.859701039201558,0.5736589423338381,42.7075,17.823689634936372,5.300966869384048,0.35902437424240724,0.0,0.35902437424240724,0.00896342097396622,False
local_restart,15,3,0.08,0.03,8,6,0.8556208203489821,0.5825009282064416,41.2525,17.246988712964985,5.312840837671185,0.3602592745519803,0.0,0.3602592745519803,0.00910157700322565,False
local_restart,20,2,0.02,0.0075,8,6,0.8969877738839529,0.6497212161375159,36.341499999999996,15.687253021682013,5.2357844812896905,0.7520097648295665,0.0,0.7520097648295665,0.010151894002148686,False
local_restart,20,2,0.04,0.015,8,6,0.8916367417039466,0.6368176704497467,36.995,16.019361586365843,5.21931648509749,0.7513627681588595,0.0,0.7513627681588595,0.009950276100777292,False
local_restart,20,2,0.06,0.0225,8,6,0.8843819236966128,0.6384848064763031,36.4675,15.765961214793508,5.233289565289795,0.7662123480309873,0.0,0.7662123480309873,0.009976325101192236,False
local_restart,20,2,0.08,0.03,8,6,0.8790327658442985,0.6380359128388389,36.3305,15.626454806849983,5.245078942737076,0.7735340910401115,0.0,0.7735340910401115,0.009969311138106857,False
local_restart,20,3,0.02,0.0075,8,6,0.8684931507947742,0.5961409988378619,42.1295,17.4774870886533,5.311858205015649,0.3596134274635222,0.0,0.3596134274635222,0.009314703106841592,False
local_restart,20,3,0.04,0.015,8,6,0.8653847457585303,0.5934593813262986,41.6825,17.434516603824747,5.303519306933778,0.35864813103366927,0.0,0.35864813103366927,0.009272802833223416,False
local_restart,20,3,0.06,0.0225,8,6,0.8658019914197994,0.5878036089332968,41.497,17.481712776209037,5.308510950865688,0.3576025633684822,0.0,0.3576025633684822,0.009184431389582762,False
local_restart,20,3,0.08,0.03,8,6,0.862323332985847,0.5845480579038197,41.205499999999994,17.361457454620396,5.309831537595455,0.3595241137633253,0.0,0.3595241137633253,0.009133563404747183,False
pressure,15,2,0.04,0.015,8,6,0.7875868198940209,0.5620972676103885,38.678999999999995,16.311880325888023,5.327815338032601,0.0,0.0,0.0,0.00878276980641232,False
whole_restart,15,2,0.04,0.015,8,6,0.9286980026638364,0.4042941053267923,87.0115,33.25943113986566,7.289575253484272,0.0,0.3676615626756785,1.3554336673502345,0.006317095395731129,False
