policy,pressure_threshold,restart_after,hard_retrap,easy_retrap,hard_max_rounds,easy_max_rounds,resolved,ontime,p95,meanlat,attempts,local_restarts,whole_restarts,disturbed_state,ontime_per_module,selected
fixed4,15,2,0.04,0.015,8,6,0.7855505038587717,0.5590431775313133,38.955499999999994,16.391340244760627,5.304324596107453,0.0,0.0,0.0,0.00873504964892677,False
pressure,15,2,0.04,0.015,8,6,0.7875868198940209,0.5620972676103885,38.678999999999995,16.311880325888023,5.327815338032601,0.0,0.0,0.0,0.00878276980641232,False
whole_restart,15,2,0.04,0.015,8,6,0.9286980026638364,0.4042941053267923,87.0115,33.25943113986566,7.289575253484272,0.0,0.3676615626756785,1.3554336673502345,0.006317095395731129,False
local_restart,15,2,0.02,0.0075,8,6,0.8922624182247229,0.6543360075458723,35.8045,15.316473331282754,5.226671901508713,0.7522690995168487,0.0,0.7522690995168487,0.010224000117904255,True
