utility_step_V,simultaneous_lines,per_line_kick_mV,total_kick_mV,remaining_25mV_margin_mV,passes_18mV
0.9,1,1.5473351450280075,1.5473351450280075,23.452664854971992,True
0.9,2,1.5473351450280075,3.094670290056015,21.905329709943985,True
0.9,3,1.5473351450280075,4.642005435084022,20.357994564915977,True
0.9,4,1.5473351450280075,6.18934058011203,18.81065941988797,True
0.9,5,1.5473351450280075,7.736675725140038,17.26332427485996,False
1.2,1,2.0631135267040097,2.0631135267040097,22.936886473295992,True
1.2,2,2.0631135267040097,4.126227053408019,20.87377294659198,True
1.2,3,2.0631135267040097,6.189340580112029,18.81065941988797,True
1.2,4,2.0631135267040097,8.252454106816039,16.74754589318396,False
1.8,1,3.094670290056015,3.094670290056015,21.905329709943985,True
1.8,2,3.094670290056015,6.18934058011203,18.81065941988797,True
1.8,3,3.094670290056015,9.284010870168045,15.715989129831955,False
