threshold,resolved,ontime,p95,meanlat,attempts,ontime_per_module
0,0.7892133203239395,0.6964394590627293,26.559499999999993,10.050694523671151,2.3146284326516646,0.010881866547855145
15,0.7981558198008912,0.7035556077142718,26.699999999999996,10.092576116848104,2.3561925119480804,0.010993056370535497
20,0.8038443516852136,0.6990730681689239,27.514999999999997,10.456618290383405,2.384799421704868,0.010923016690139436
25,0.8096409983556336,0.6995229319613003,28.522499999999994,10.794381744667746,2.4102877408702996,0.010930045811895318
30,0.8138932570955442,0.690266123860445,30.014999999999997,11.483889846057535,2.44084589814325,0.010785408185319452
