scenario,group_cells,cell_to_venule_tau,venule_to_artery_tau,slow_venule_outlets,slow_outlet_copy_reduction_pct,cell_charge_remaining_after_8_intervals_pct,peak_local_venule_charge_units,peak_one_group_artery_output,peak_artery_inflow,peak_reservoir_units,transferred_fraction,artery_peak_reduction_vs_direct_tau8_pct,reservoir_peak_reduction_vs_direct_tau8_pct
uniform,8,2,8,32,87.5,1.8315638888734178,4.813555068990785,0.6409174111881031,6.520790022168034,3.3456355912926403,1.0000000000000004,2.5704043055324366,9.429578434497953
bursty,8,2,8,32,87.5,1.8315638888734178,5.926580147759372,0.7891149786507229,12.154071950295611,82.00084254886723,1.0000000000000102,19.302430372272916,3.382568847491385
aligned,8,2,8,32,87.5,1.8315638888734178,6.328851074951833,0.8426767303201571,11.906931209343629,87.85269470586555,1.0000000000000029,28.290997903861715,3.1217882020249554
