receiver,scenario,num_sources,total_nominal_deltaV_mV,kTC_rms_mV,signal_over_kTC,optical_source_energy_fJ,electrical_10mm_dedicated_fJ,electrical_long_coordinate_fJ
3fF_contact,good,1,20,1.1750102127215745,17.021128653576323,6.185677876574194,37.52777777777778,680
3fF_contact,good,2,40,1.1750102127215745,34.042257307152645,12.371355753148387,75.05555555555556,1360
3fF_contact,good,3,60,1.1750102127215745,51.063385960728965,18.55703362972258,112.58333333333334,2040
3fF_contact,good,4,80,1.1750102127215745,68.08451461430529,24.742711506296774,150.11111111111111,2720
3fF_contact,good,8,160,1.1750102127215745,136.16902922861058,49.48542301259355,300.22222222222223,5440
3fF_contact,moderate,1,20,1.1750102127215745,17.021128653576323,7.233163424012906,37.52777777777778,680
3fF_contact,moderate,2,40,1.1750102127215745,34.042257307152645,14.466326848025812,75.05555555555556,1360
3fF_contact,moderate,3,60,1.1750102127215745,51.063385960728965,21.699490272038717,112.58333333333334,2040
3fF_contact,moderate,4,80,1.1750102127215745,68.08451461430529,28.932653696051624,150.11111111111111,2720
3fF_contact,moderate,8,160,1.1750102127215745,136.16902922861058,57.86530739210325,300.22222222222223,5440
3fF_contact,poor,1,20,1.1750102127215745,17.021128653576323,11.899235408058077,37.52777777777778,680
3fF_contact,poor,2,40,1.1750102127215745,34.042257307152645,23.798470816116154,75.05555555555556,1360
3fF_contact,poor,3,60,1.1750102127215745,51.063385960728965,35.69770622417423,112.58333333333334,2040
3fF_contact,poor,4,80,1.1750102127215745,68.08451461430529,47.59694163223231,150.11111111111111,2720
3fF_contact,poor,8,160,1.1750102127215745,136.16902922861058,95.19388326446462,300.22222222222223,5440
17fF_detector,good,1,20,0.4936030198210608,40.51839068417841,7.5188413005871,37.52777777777778,680
17fF_detector,good,2,40,0.4936030198210608,81.03678136835682,15.0376826011742,75.05555555555556,1360
17fF_detector,good,3,60,0.4936030198210608,121.55517205253524,22.556523901761298,112.58333333333334,2040
17fF_detector,good,4,80,0.4936030198210608,162.07356273671364,30.0753652023484,150.11111111111111,2720
17fF_detector,good,8,160,0.4936030198210608,324.1471254734273,60.1507304046968,300.22222222222223,5440
17fF_detector,moderate,1,20,0.4936030198210608,40.51839068417841,13.454592736073134,37.52777777777778,680
17fF_detector,moderate,2,40,0.4936030198210608,81.03678136835682,26.909185472146267,75.05555555555556,1360
17fF_detector,moderate,3,60,0.4936030198210608,121.55517205253524,40.3637782082194,112.58333333333334,2040
17fF_detector,moderate,4,80,0.4936030198210608,162.07356273671364,53.818370944292535,150.11111111111111,2720
17fF_detector,moderate,8,160,0.4936030198210608,324.1471254734273,107.63674188858507,300.22222222222223,5440
17fF_detector,poor,1,20,0.4936030198210608,40.51839068417841,39.8956673123291,37.52777777777778,680
17fF_detector,poor,2,40,0.4936030198210608,81.03678136835682,79.7913346246582,75.05555555555556,1360
17fF_detector,poor,3,60,0.4936030198210608,121.55517205253524,119.6870019369873,112.58333333333334,2040
17fF_detector,poor,4,80,0.4936030198210608,162.07356273671364,159.5826692493164,150.11111111111111,2720
17fF_detector,poor,8,160,0.4936030198210608,324.1471254734273,319.1653384986328,300.22222222222223,5440
