physical_cost_factor,all_exact_equal_domain_avg_pJ,naive_global_equal_domain_avg_pJ,naive_global_reduction_pct,locality_aware_equal_domain_avg_pJ,locality_aware_reduction_pct
1,335.188888889,173.443270139,48.255065758925895,173.443270139,48.255065758925895
2,335.188888889,213.39327013899998,36.33641292636446,208.633270139,37.75650773194625
4,335.188888889,293.293270139,12.499107261241585,264.733270139,21.01967609473231
8,335.188888889,453.0932701389999,-35.17550406900413,269.493270139,19.599581289150528
