category,pairs,mean_detour,median_detour,p95_detour,max_detour,mean_interior_energy_fj,mean_surface_energy_fj,mean_surface_penalty_pct
all,4186,1.048666757672969,1.0,1.4,5.0,34.55871476349737,35.58797419971333,2.9782919974301647
share_face,1740,1.0,1.0,1.0,1.0,27.232758620689655,27.232758620689655,0.0
different_faces,960,1.0,1.0,1.0,1.0,36.054,36.054,0.0
opposite_faces,1486,1.1370922258540024,1.0,1.6666666666666667,5.0,42.17088829071333,45.070269179004036,6.875313766936219
